;track;artist;genre;time;date.entered;date.peaked;Week;Ranking;New_time;timedelta;entered_to_datetime;peaked_to_datetime
5715;Amazed;Lonestar;Country;4:25;1999-06-05;2000-03-04;19;43;0:4:25;0 days 00:04:25.000000000;1999-06-05;2000-03-04
5716;It's Gonna Be Me;N'Sync;Rock;3:10;2000-05-06;2000-07-29;19;13;0:3:10;0 days 00:03:10.000000000;2000-05-06;2000-07-29
5717;What A Girl Wants;Aguilera, Christina;Rock;3:18;1999-11-27;2000-01-15;19;18;0:3:18;0 days 00:03:18.000000000;1999-11-27;2000-01-15
5718;Everything You Want;Vertical Horizon;Rock;4:01;2000-01-22;2000-07-15;19;7;0:4:01;0 days 00:04:01.000000000;2000-01-22;2000-07-15
5719;With Arms Wide Open;Creed;Rock;3:52;2000-05-13;2000-11-11;19;19;0:3:52;0 days 00:03:52.000000000;2000-05-13;2000-11-11
5720;Try Again;Aaliyah;Rock;4:03;2000-03-18;2000-06-17;19;3;0:4:03;0 days 00:04:03.000000000;2000-03-18;2000-06-17
5721;Bent;matchbox twenty;Rock;4:12;2000-04-29;2000-07-22;19;4;0:4:12;0 days 00:04:12.000000000;2000-04-29;2000-07-22
5722;Thank God I Found You;Carey, Mariah;Rock;4:14;1999-12-11;2000-02-19;19;82;0:4:14;0 days 00:04:14.000000000;1999-12-11;2000-02-19
5723;Breathe;Hill, Faith;Rap;4:04;1999-11-06;2000-04-22;19;3;0:4:04;0 days 00:04:04.000000000;1999-11-06;2000-04-22
5724;Case Of The Ex (Whatcha Gonna Do);Mya;Rock;3:50;2000-08-19;2000-12-02;19;3;0:3:50;0 days 00:03:50.000000000;2000-08-19;2000-12-02
5725;He Loves U Not;Dream;Rock;3:43;2000-09-30;2000-12-30;19;7;0:3:43;0 days 00:03:43.000000000;2000-09-30;2000-12-30
5726;He Wasn't Man Enough;Braxton, Toni;Rock;4:21;2000-03-18;2000-05-06;19;12;0:4:21;0 days 00:04:21.000000000;2000-03-18;2000-05-06
5727;You Sang To Me;Anthony, Marc;Latin;3:50;2000-02-26;2000-06-03;19;9;0:3:50;0 days 00:03:50.000000000;2000-02-26;2000-06-03
5728;Give Me Just One Night (Una Noche);98¡;Rock;3:24;2000-08-19;2000-09-30;19;93;0:3:24;0 days 00:03:24.000000000;2000-08-19;2000-09-30
5729;Jumpin' Jumpin';Destiny's Child;Rock;3:48;2000-05-13;2000-08-19;19;3;0:3:48;0 days 00:03:48.000000000;2000-05-13;2000-08-19
5730;Kryptonite;3 Doors Down;Rock;3:53;2000-04-08;2000-11-11;19;18;0:3:53;0 days 00:03:53.000000000;2000-04-08;2000-11-11
5731;Thong Song;Sisqo;Rock;4:05;2000-01-29;2000-05-20;19;4;0:4:05;0 days 00:04:05.000000000;2000-01-29;2000-05-20
5732;I Turn To You;Aguilera, Christina;Rock;4:00;2000-04-15;2000-07-01;19;29;0:4:00;0 days 00:04:00.000000000;2000-04-15;2000-07-01
5733;My Love Is Your Love;Houston, Whitney;Rock;4:16;1999-09-04;2000-01-08;19;4;0:4:16;0 days 00:04:16.000000000;1999-09-04;2000-01-08
5734;I Wanna Know;Joe;Rock;4:57;2000-01-01;2000-07-01;19;11;0:4:57;0 days 00:04:57.000000000;2000-01-01;2000-07-01
5735;Get It On.. Tonite;Jordan, Montell;Rap;4:34;1999-10-23;2000-02-12;19;7;0:4:34;0 days 00:04:34.000000000;1999-10-23;2000-02-12
5736;Bye Bye Bye;N'Sync;Rock;3:15;2000-01-29;2000-04-15;19;18;0:3:15;0 days 00:03:15.000000000;2000-01-29;2000-04-15
5737;The Real Slim Shady;Eminem;Rap;4:42;2000-05-06;2000-06-24;19;98;0:4:42;0 days 00:04:42.000000000;2000-05-06;2000-06-24
5738;Most Girls;Pink;Rock;4:06;2000-08-12;2000-11-25;19;11;0:4:06;0 days 00:04:06.000000000;2000-08-12;2000-11-25
5739;Gotta Tell You;Mumba, Samantha;Rock;3:19;2000-09-09;2000-12-09;19;17;0:3:19;0 days 00:03:19.000000000;2000-09-09;2000-12-09
5740;Bring It All To Me;Blaque;Pop;3:46;1999-10-23;2000-01-22;19;15;0:3:46;0 days 00:03:46.000000000;1999-10-23;2000-01-22
5741;Hot Boyz;"Elliott, Missy ""Misdemeanor""";Rap;3:51;1999-11-27;2000-01-08;19;23;0:3:51;0 days 00:03:51.000000000;1999-11-27;2000-01-08
5742;I Try;Gray, Macy;Rock;3:52;2000-02-19;2000-05-20;19;14;0:3:52;0 days 00:03:52.000000000;2000-02-19;2000-05-20
5743;This I Promise You;N'Sync;Rock;4:23;2000-09-30;2000-12-02;19;20;0:4:23;0 days 00:04:23.000000000;2000-09-30;2000-12-02
5744;No More;Ruff Endz;Rock;3:56;2000-07-01;2000-09-02;19;21;0:3:56;0 days 00:03:56.000000000;2000-07-01;2000-09-02
5745;Show Me The Meaning Of Being Lonely;Backstreet Boys, The;Rock;3:54;2000-01-01;2000-03-18;19;23;0:3:54;0 days 00:03:54.000000000;2000-01-01;2000-03-18
5746;Absolutely (Story Of A Girl);Nine Days;Rock;3:09;2000-05-06;2000-07-22;19;11;0:3:09;0 days 00:03:09.000000000;2000-05-06;2000-07-22
5747;That's The Way It Is;Dion, Celine;Rock;4:03;1999-11-13;2000-03-04;19;7;0:4:03;0 days 00:04:03.000000000;1999-11-13;2000-03-04
5748;All The Small Things;Blink-182;Rock;2:52;1999-12-04;2000-02-19;19;18;0:2:52;0 days 00:02:52.000000000;1999-12-04;2000-02-19
5749;Blue (Da Ba Dee);Eiffel 65;Electronica;3:29;1999-12-11;2000-01-29;19;76;0:3:29;0 days 00:03:29.000000000;1999-12-11;2000-01-29
5750;Bag Lady;Badu, Erkyah;Rock;5:03;2000-08-19;2000-10-07;19;56;0:5:03;0 days 00:05:03.000000000;2000-08-19;2000-10-07
5751;There U Go;Pink;Rock;3:23;2000-03-04;2000-04-08;19;10;0:3:23;0 days 00:03:23.000000000;2000-03-04;2000-04-08
5752;Higher;Creed;Rock;5:16;1999-09-11;2000-07-22;19;60;0:5:16;0 days 00:05:16.000000000;1999-09-11;2000-07-22
5753;(Hot S**t) Country Grammar;Nelly;Rap;4:17;2000-04-29;2000-09-16;19;11;0:4:17;0 days 00:04:17.000000000;2000-04-29;2000-09-16
5754;Wifey;Next;Rock;4:03;2000-05-27;2000-09-09;19;21;0:4:03;0 days 00:04:03.000000000;2000-05-27;2000-09-09
5756;It Feels So Good;Sonique;Rock;3:48;2000-01-22;2000-04-22;19;17;0:3:48;0 days 00:03:48.000000000;2000-01-22;2000-04-22
5757;Oops!.. I Did It Again;Spears, Britney;Rock;3:30;2000-04-22;2000-06-10;19;90;0:3:30;0 days 00:03:30.000000000;2000-04-22;2000-06-10
5758;Shape Of My Heart;Backstreet Boys, The;Rock;3:49;2000-10-14;2000-12-02;19;62;0:3:49;0 days 00:03:49.000000000;2000-10-14;2000-12-02
5759;Wonderful;Everclear;Rock;4:30;2000-07-08;2000-09-30;19;36;0:4:30;0 days 00:04:30.000000000;2000-07-08;2000-09-30
5760;Between Me And You;Ja Rule;Rap;4:05;2000-09-16;2000-11-18;19;42;0:4:05;0 days 00:04:05.000000000;2000-09-16;2000-11-18
5761;I Need You;Rimes, LeAnn;Country;3:42;2000-05-27;2000-08-12;19;19;0:3:42;0 days 00:03:42.000000000;2000-05-27;2000-08-12
5762;Then The Morning Comes;Smash Mouth;Rock;3:04;1999-10-30;2000-01-29;19;24;0:3:04;0 days 00:03:04.000000000;1999-10-30;2000-01-29
5763;I Just Wanna Love U (Give It 2 Me);Jay-Z;Rap;3:50;2000-10-28;2000-12-30;19;29;0:3:50;0 days 00:03:50.000000000;2000-10-28;2000-12-30
5764;Let's Get Married;Jagged Edge;Rock;4:23;2000-05-06;2000-07-29;19;21;0:4:23;0 days 00:04:23.000000000;2000-05-06;2000-07-29
5765;Take A Picture;Filter;Rock;4:23;1999-11-27;2000-02-05;19;31;0:4:23;0 days 00:04:23.000000000;1999-11-27;2000-02-05
5767;Shake Ya Ass;Mystikal;Rap;4:46;2000-08-12;2000-10-28;19;42;0:4:46;0 days 00:04:46.000000000;2000-08-12;2000-10-28
5768;Back Here;BBMak;Rock;3:35;2000-04-29;2000-07-29;19;17;0:3:35;0 days 00:03:35.000000000;2000-04-29;2000-07-29
5769;From The Bottom Of My Broken Heart;Spears, Britney;Rock;4:30;2000-01-29;2000-02-26;19;86;0:4:30;0 days 00:04:30.000000000;2000-01-29;2000-02-26
5770;Never Let You Go;Third Eye Blind;Rock;3:57;2000-01-22;2000-04-01;19;27;0:3:57;0 days 00:03:57.000000000;2000-01-22;2000-04-01
5771;Otherside;Red Hot Chili Peppers;Rock;4:13;2000-02-12;2000-05-27;19;19;0:4:13;0 days 00:04:13.000000000;2000-02-12;2000-05-27
5772;Liar;Profyle;R&B;3:57;2000-09-16;2000-10-28;19;94;0:3:57;0 days 00:03:57.000000000;2000-09-16;2000-10-28
5773;Pinch Me;Barenaked Ladies;Rock;3:46;2000-09-09;2000-11-25;19;21;0:3:46;0 days 00:03:46.000000000;2000-09-09;2000-11-25
5774;He Can't Love U;Jagged Edge;Rock;3:30;1999-12-11;2000-01-08;19;69;0:3:30;0 days 00:03:30.000000000;1999-12-11;2000-01-08
5776;Desert Rose;Sting;Rock;3:52;2000-05-13;2000-08-26;19;24;0:3:52;0 days 00:03:52.000000000;2000-05-13;2000-08-26
5777;Big Pimpin';Jay-Z;Rap;3:55;2000-04-22;2000-07-08;19;41;0:3:55;0 days 00:03:55.000000000;2000-04-22;2000-07-08
5778;Only God Knows Why;Kid Rock;Rock;5:27;2000-02-19;2000-04-15;19;69;0:5:27;0 days 00:05:27.000000000;2000-02-19;2000-04-15
5779;Learn To Fly;Foo Fighters;Rock;3:55;1999-10-16;2000-01-22;19;35;0:3:55;0 days 00:03:55.000000000;1999-10-16;2000-01-22
5782;Bounce With Me;Lil Bow Wow;Rap;3:22;2000-08-19;2000-09-16;19;99;0:3:22;0 days 00:03:22.000000000;2000-08-19;2000-09-16
5783;Swear It Again;Westlife;Rock;4:07;2000-04-01;2000-07-01;19;45;0:4:07;0 days 00:04:07.000000000;2000-04-01;2000-07-01
5784;Meet Virginia;Train;Rock;3:55;1999-10-09;2000-01-22;19;28;0:3:55;0 days 00:03:55.000000000;1999-10-09;2000-01-22
5785;I Wish;Thomas, Carl;Rock;3:50;2000-03-25;2000-05-13;19;52;0:3:50;0 days 00:03:50.000000000;2000-03-25;2000-05-13
5788;What's Your Fantasy;Ludacris;Rap;4:16;2000-09-30;2000-12-16;19;32;0:4:16;0 days 00:04:16.000000000;2000-09-30;2000-12-16
5791;Faded;SoulDecision;Rock;3:25;2000-07-08;2000-09-09;19;31;0:3:25;0 days 00:03:25.000000000;2000-07-08;2000-09-09
5792;Yes!;Brock, Chad;Country;3:22;2000-04-08;2000-07-01;19;53;0:3:22;0 days 00:03:22.000000000;2000-04-08;2000-07-01
5794;You're A God;Vertical Horizon;Rock;3:45;2000-08-26;2000-11-04;19;46;0:3:45;0 days 00:03:45.000000000;2000-08-26;2000-11-04
5795;Separated;Avant;Rock;4:13;2000-04-29;2000-05-20;19;40;0:4:13;0 days 00:04:13.000000000;2000-04-29;2000-05-20
5796;Big Deal;Rimes, LeAnn;Country;3:03;1999-10-16;2000-01-01;19;56;0:3:03;0 days 00:03:03.000000000;1999-10-16;2000-01-01
5797;Stay The Night;IMx;Rap;3:37;1999-10-09;2000-01-08;19;79;0:3:37;0 days 00:03:37.000000000;1999-10-09;2000-01-08
5798;The Next Episode;Dr. Dre;Rap;2:38;2000-05-27;2000-07-29;19;52;0:2:38;0 days 00:02:38.000000000;2000-05-27;2000-07-29
5800;Crash And Burn;Savage Garden;Rock;4:41;2000-04-08;2000-05-27;19;73;0:4:41;0 days 00:04:41.000000000;2000-04-08;2000-05-27
5801;Don't Think I'm Not;Kandi;Rock;3:50;2000-08-05;2000-10-07;19;25;0:3:50;0 days 00:03:50.000000000;2000-08-05;2000-10-07
5802;I Like It;Sammie;Rock;4:09;2000-01-29;2000-04-15;19;91;0:4:09;0 days 00:04:09.000000000;2000-01-29;2000-04-15
5803;Broadway;Goo Goo Dolls;Rock;3:54;2000-04-22;2000-07-01;19;85;0:3:54;0 days 00:03:54.000000000;2000-04-22;2000-07-01
5805;Forgot About Dre;Dr. Dre;Rap;3:42;2000-01-22;2000-03-25;19;80;0:3:42;0 days 00:03:42.000000000;2000-01-22;2000-03-25
5807;That's The Way;Messina, Jo Dee;Country;3:17;2000-06-24;2000-08-26;19;51;0:3:17;0 days 00:03:17.000000000;2000-06-24;2000-08-26
5808;My First Love;Avant;Rock;4:28;2000-11-04;2000-12-16;19;81;0:4:28;0 days 00:04:28.000000000;2000-11-04;2000-12-16
5809;A Puro Dolor (Purest Of Pain);Son By Four;Latin;3:30;2000-04-08;2000-08-19;19;37;0:3:30;0 days 00:03:30.000000000;2000-04-08;2000-08-19
5810;What'Chu Like;Da Brat;Rap;3:57;2000-06-03;2000-08-12;19;68;0:3:57;0 days 00:03:57.000000000;2000-06-03;2000-08-12
5811;Party Up (Up In Here);DMX;Rap;3:45;2000-02-26;2000-04-22;19;44;0:3:45;0 days 00:03:45.000000000;2000-02-26;2000-04-22
5812;Cowboy Take Me Away;Dixie Chicks, The;Country;4:51;1999-11-27;2000-01-29;19;59;0:4:51;0 days 00:04:51.000000000;1999-11-27;2000-01-29
5813;My Next Thirty Years;McGraw, Tim;Country;3:37;2000-10-21;2000-12-16;19;58;0:3:37;0 days 00:03:37.000000000;2000-10-21;2000-12-16
5814;Best Of Intentions;Tritt, Travis;Country;4:15;2000-08-19;2000-12-02;19;37;0:4:15;0 days 00:04:15.000000000;2000-08-19;2000-12-02
5815;Better Off Alone;Alice Deejay;Electronica;6:50;2000-04-08;2000-06-03;19;79;0:6:50;0 days 00:06:50.000000000;2000-04-08;2000-06-03
5818;Hanginaround;Counting Crows;Rock;4:07;1999-11-06;2000-01-29;19;61;0:4:07;0 days 00:04:07.000000000;1999-11-06;2000-01-29
5819;Shackles (Praise You);Mary Mary;Rock;3:12;2000-03-25;2000-05-13;19;84;0:3:12;0 days 00:03:12.000000000;2000-03-25;2000-05-13
5821;My Best Friend;McGraw, Tim;Country;4:33;1999-11-27;2000-01-29;19;46;0:4:33;0 days 00:04:33.000000000;1999-11-27;2000-01-29
5822;Falls Apart;Sugar Ray;Rock;4:15;2000-01-15;2000-02-19;19;98;0:4:15;0 days 00:04:15.000000000;2000-01-15;2000-02-19
5824;Where I Wanna Be;Jones, Donell;Rock;6:22;2000-04-22;2000-07-08;19;55;0:6:22;0 days 00:06:22.000000000;2000-04-22;2000-07-08
5825;We Danced;Paisley, Brad;Country;3:45;2000-10-14;2000-12-16;19;83;0:3:45;0 days 00:03:45.000000000;2000-10-14;2000-12-16
5826;What About Now;Lonestar;Country;3:30;2000-06-10;2000-08-19;19;61;0:3:30;0 days 00:03:30.000000000;2000-06-10;2000-08-19
5828;How Do You Like Me Now?!;Keith, Toby;Country;3:29;2000-01-29;2000-04-08;19;52;0:3:29;0 days 00:03:29.000000000;2000-01-29;2000-04-08
5829;The Best Day;Strait, George;Country;3:24;2000-01-29;2000-04-22;19;53;0:3:24;0 days 00:03:24.000000000;2000-01-29;2000-04-22
5830;Without You;Dixie Chicks, The;Country;3:32;2000-10-07;2000-12-23;19;51;0:3:32;0 days 00:03:32.000000000;2000-10-07;2000-12-23
5831;Just Friends (Sunny);Musiq;Rap;4:02;2000-10-14;2000-12-30;19;58;0:4:02;0 days 00:04:02.000000000;2000-10-14;2000-12-30
5832;What Do You Say;McEntire, Reba;Country;3:26;1999-10-30;2000-01-29;19;68;0:3:26;0 days 00:03:26.000000000;1999-10-30;2000-01-29
5833;Just Be A Man About It;Braxton, Toni;Rock;4:10;2000-07-29;2000-09-02;19;89;0:4:10;0 days 00:04:10.000000000;2000-07-29;2000-09-02
5836;It's My Life;Bon Jovi;Rock;3:44;2000-08-12;2000-09-30;19;85;0:3:44;0 days 00:03:44.000000000;2000-08-12;2000-09-30
5837;Born To Fly;Evans, Sara;Country;5:36;2000-10-21;2000-12-30;19;81;0:5:36;0 days 00:05:36.000000000;2000-10-21;2000-12-30
5838;I Lost It;Chesney, Kenny;Country;3:54;2000-10-21;2000-12-23;19;89;0:3:54;0 days 00:03:54.000000000;2000-10-21;2000-12-23
5841;I Don't Wanna;Aaliyah;Rock;4:15;2000-01-29;2000-03-04;19;83;0:4:15;0 days 00:04:15.000000000;2000-01-29;2000-03-04
5842;The Little Girl;Montgomery, John Michael;Country;3:52;2000-09-09;2000-10-28;19;74;0:3:52;0 days 00:03:52.000000000;2000-09-09;2000-10-28
5844;Just Another Day In Paradise;Vassar, Phil;Country;3:54;2000-09-30;2000-12-02;19;74;0:3:54;0 days 00:03:54.000000000;2000-09-30;2000-12-02
5847;Dance Tonight;Lucy Pearl;R&B;3:45;2000-05-20;2000-07-29;19;92;0:3:45;0 days 00:03:45.000000000;2000-05-20;2000-07-29
5848;It Must Be Love;Jackson, Alan;Country;2:53;2000-06-24;2000-09-02;19;84;0:2:53;0 days 00:02:53.000000000;2000-06-24;2000-09-02
5849;She's More;Griggs, Andy;Country;3:19;2000-03-11;2000-06-10;19;77;0:3:19;0 days 00:03:19.000000000;2000-03-11;2000-06-10
5851;911;Jean, Wyclef;Rap;4:00;2000-10-07;2000-11-25;19;96;0:4:00;0 days 00:04:00.000000000;2000-10-07;2000-11-25
5852;Prayin' For Daylight;Rascal Flatts;Country;3:36;2000-05-06;2000-08-12;19;72;0:3:36;0 days 00:03:36.000000000;2000-05-06;2000-08-12
5854;One Voice;Gilman, Billy;Country;4:07;2000-06-17;2000-09-02;19;97;0:4:07;0 days 00:04:07.000000000;2000-06-17;2000-09-02
5855;Smile;Lonestar;Country;3:33;1999-12-18;2000-02-12;19;85;0:3:33;0 days 00:03:33.000000000;1999-12-18;2000-02-12
5856;Buy Me A Rose;Rogers, Kenny;Country;3:46;2000-03-11;2000-05-06;19;88;0:3:46;0 days 00:03:46.000000000;2000-03-11;2000-05-06
5857;Lessons Learned;Lawrence, Tracy;Country;2:55;2000-01-29;2000-04-08;19;99;0:2:55;0 days 00:02:55.000000000;2000-01-29;2000-04-08
5858;Go On;Strait, George;Country;3:48;2000-08-26;2000-10-28;19;95;0:3:48;0 days 00:03:48.000000000;2000-08-26;2000-10-28
5859;Got To Get It;Sisqo;Rock;3:52;1999-11-20;2000-01-22;19;88;0:3:52;0 days 00:03:52.000000000;1999-11-20;2000-01-22
5860;Who Let The Dogs Out;Baha Men;R&B;3:17;2000-07-22;2000-10-21;19;78;0:3:17;0 days 00:03:17.000000000;2000-07-22;2000-10-21
5861;The Chain Of Love;Walker, Clay;Country;5:03;2000-04-15;2000-06-10;19;94;0:5:03;0 days 00:05:03.000000000;2000-04-15;2000-06-10
5862;Love's The Only House;McBride, Martina;Country;5:13;2000-02-05;2000-04-15;19;92;0:5:13;0 days 00:05:13.000000000;2000-02-05;2000-04-15
5863;Sexual (Li Da Di);Amber;Rock;4:38;1999-07-17;2000-02-12;19;95;0:4:38;0 days 00:04:38.000000000;1999-07-17;2000-02-12
5864;Kiss This;Tippin, Aaron;Country;2:53;2000-08-26;2000-10-21;19;97;0:2:53;0 days 00:02:53.000000000;2000-08-26;2000-10-21
5865;I Will.. But;SheDaisy;Country;3:40;2000-07-15;2000-09-16;19;85;0:3:40;0 days 00:03:40.000000000;2000-07-15;2000-09-16
5866;Couldn't Last A Moment;Raye, Collin;Country;3:40;2000-03-18;2000-06-24;19;73;0:3:40;0 days 00:03:40.000000000;2000-03-18;2000-06-24
5869;Been There;Black, Clint;Country;5:28;2000-02-19;2000-04-15;19;95;0:5:28;0 days 00:05:28.000000000;2000-02-19;2000-04-15
5870;The Light;Common;Rap;3:55;2000-08-05;2000-09-09;19;99;0:3:55;0 days 00:03:55.000000000;2000-08-05;2000-09-09
5871;Carlene;Vassar, Phil;Country;4:07;2000-03-04;2000-04-22;19;93;0:4:07;0 days 00:04:07.000000000;2000-03-04;2000-04-22
5876;Emotional;Thomas, Carl;Rock;4:31;2000-11-25;2000-12-30;19;91;0:4:31;0 days 00:04:31.000000000;2000-11-25;2000-12-30
5878;Unconditional;Davidson, Clay;Country;3:56;2000-03-25;2000-06-17;19;63;0:3:56;0 days 00:03:56.000000000;2000-03-25;2000-06-17
5879;What You Want;DMX;Rap;4:05;2000-07-01;2000-09-23;19;99;0:4:05;0 days 00:04:05.000000000;2000-07-01;2000-09-23
5883;Flowers On The Wall;Heatherly, Eric;Country;3:16;2000-04-29;2000-08-12;19;83;0:3:16;0 days 00:03:16.000000000;2000-04-29;2000-08-12
5885;I'll Be;McEntire, Reba;Country;4:23;2000-05-13;2000-07-29;19;94;0:4:23;0 days 00:04:23.000000000;2000-05-13;2000-07-29
5886;Feelin' Good;Lopez, Jennifer;Latin;4:28;2000-02-19;2000-04-08;19;96;0:4:28;0 days 00:04:28.000000000;2000-02-19;2000-04-08
5892;Angels;Williams, Robbie;Rock;3:56;1999-11-20;2000-01-22;19;95;0:3:56;0 days 00:03:56.000000000;1999-11-20;2000-01-22
5899;Loser;3 Doors Down;Rock;4:24;2000-10-21;2000-12-02;19;73;0:4:24;0 days 00:04:24.000000000;2000-10-21;2000-12-02
5900;You'll Always Be Loved By Me;Brooks & Dunn;Country;2:58;2000-06-10;2000-09-09;19;98;0:2:58;0 days 00:02:58.000000000;2000-06-10;2000-09-09
5905;Last Resort;Papa Roach;Rock;3:19;2000-07-29;2000-12-02;19;57;0:3:19;0 days 00:03:19.000000000;2000-07-29;2000-12-02
5906;Open My Heart;Adams, Yolanda;Gospel;5:30;2000-08-26;2000-10-21;19;79;0:5:30;0 days 00:05:30.000000000;2000-08-26;2000-10-21
5911;Taking You Home;Henley, Don;Rock;4:08;2000-06-24;2000-08-05;19;87;0:4:08;0 days 00:04:08.000000000;2000-06-24;2000-08-05
5914;Change Your Mind;Sister Hazel;Rock;4:02;2000-07-15;2000-08-05;19;96;0:4:02;0 days 00:04:02.000000000;2000-07-15;2000-08-05
5927;You Should've Told Me;Price, Kelly;Rock;3:12;2000-09-23;2000-12-02;19;93;0:3:12;0 days 00:03:12.000000000;2000-09-23;2000-12-02
5940;Californication;Red Hot Chili Peppers;Rock;5:21;2000-07-29;2000-10-14;19;97;0:5:21;0 days 00:05:21.000000000;2000-07-29;2000-10-14
5944;My Baby You;Anthony, Marc;Latin;3:59;2000-09-16;2000-10-07;19;91;0:3:59;0 days 00:03:59.000000000;2000-09-16;2000-10-07
5950;Can't Fight The Moonlight;Rimes, LeAnn;Country;3:33;2000-09-09;2000-09-16;19;87;0:3:33;0 days 00:03:33.000000000;2000-09-09;2000-09-16
5969;I Disappear;Metallica;Rock;4:26;2000-05-13;2000-06-17;19;89;0:4:26;0 days 00:04:26.000000000;2000-05-13;2000-06-17
5994;Don't Call Me Baby;Madison Avenue;Electronica;3:44;2000-07-08;2000-09-16;19;90;0:3:44;0 days 00:03:44.000000000;2000-07-08;2000-09-16
6023;Independent Women Part I;Destiny's Child;Rock;3:38;2000-09-23;2000-11-18;20;2;0:3:38;0 days 00:03:38.000000000;2000-09-23;2000-11-18
6024;Maria, Maria;Santana;Rock;4:18;2000-02-12;2000-04-08;20;15;0:4:18;0 days 00:04:18.000000000;2000-02-12;2000-04-08
6025;I Knew I Loved You;Savage Garden;Rock;4:07;1999-10-23;2000-01-29;20;2;0:4:07;0 days 00:04:07.000000000;1999-10-23;2000-01-29
6026;Music;Madonna;Rock;3:45;2000-08-12;2000-09-16;20;25;0:3:45;0 days 00:03:45.000000000;2000-08-12;2000-09-16
6027;Come On Over Baby (All I Want Is You);Aguilera, Christina;Rock;3:38;2000-08-05;2000-10-14;20;43;0:3:38;0 days 00:03:38.000000000;2000-08-05;2000-10-14
6028;Doesn't Really Matter;Janet;Rock;4:17;2000-06-17;2000-08-26;20;20;0:4:17;0 days 00:04:17.000000000;2000-06-17;2000-08-26
6029;Say My Name;Destiny's Child;Rock;4:31;1999-12-25;2000-03-18;20;5;0:4:31;0 days 00:04:31.000000000;1999-12-25;2000-03-18
6030;Be With You;Iglesias, Enrique;Latin;3:36;2000-04-01;2000-06-24;20;28;0:3:36;0 days 00:03:36.000000000;2000-04-01;2000-06-24
6031;Incomplete;Sisqo;Rock;3:52;2000-06-24;2000-08-12;20;14;0:3:52;0 days 00:03:52.000000000;2000-06-24;2000-08-12
6032;Amazed;Lonestar;Country;4:25;1999-06-05;2000-03-04;20;50;0:4:25;0 days 00:04:25.000000000;1999-06-05;2000-03-04
6033;It's Gonna Be Me;N'Sync;Rock;3:10;2000-05-06;2000-07-29;20;15;0:3:10;0 days 00:03:10.000000000;2000-05-06;2000-07-29
6034;What A Girl Wants;Aguilera, Christina;Rock;3:18;1999-11-27;2000-01-15;20;20;0:3:18;0 days 00:03:18.000000000;1999-11-27;2000-01-15
6035;Everything You Want;Vertical Horizon;Rock;4:01;2000-01-22;2000-07-15;20;7;0:4:01;0 days 00:04:01.000000000;2000-01-22;2000-07-15
6036;With Arms Wide Open;Creed;Rock;3:52;2000-05-13;2000-11-11;20;11;0:3:52;0 days 00:03:52.000000000;2000-05-13;2000-11-11
6037;Try Again;Aaliyah;Rock;4:03;2000-03-18;2000-06-17;20;4;0:4:03;0 days 00:04:03.000000000;2000-03-18;2000-06-17
6038;Bent;matchbox twenty;Rock;4:12;2000-04-29;2000-07-22;20;5;0:4:12;0 days 00:04:12.000000000;2000-04-29;2000-07-22
6039;Thank God I Found You;Carey, Mariah;Rock;4:14;1999-12-11;2000-02-19;20;89;0:4:14;0 days 00:04:14.000000000;1999-12-11;2000-02-19
6040;Breathe;Hill, Faith;Rap;4:04;1999-11-06;2000-04-22;20;4;0:4:04;0 days 00:04:04.000000000;1999-11-06;2000-04-22
6041;Case Of The Ex (Whatcha Gonna Do);Mya;Rock;3:50;2000-08-19;2000-12-02;20;4;0:3:50;0 days 00:03:50.000000000;2000-08-19;2000-12-02
6042;He Loves U Not;Dream;Rock;3:43;2000-09-30;2000-12-30;20;9;0:3:43;0 days 00:03:43.000000000;2000-09-30;2000-12-30
6043;He Wasn't Man Enough;Braxton, Toni;Rock;4:21;2000-03-18;2000-05-06;20;10;0:4:21;0 days 00:04:21.000000000;2000-03-18;2000-05-06
6044;You Sang To Me;Anthony, Marc;Latin;3:50;2000-02-26;2000-06-03;20;12;0:3:50;0 days 00:03:50.000000000;2000-02-26;2000-06-03
6045;Give Me Just One Night (Una Noche);98¡;Rock;3:24;2000-08-19;2000-09-30;20;94;0:3:24;0 days 00:03:24.000000000;2000-08-19;2000-09-30
6046;Jumpin' Jumpin';Destiny's Child;Rock;3:48;2000-05-13;2000-08-19;20;3;0:3:48;0 days 00:03:48.000000000;2000-05-13;2000-08-19
6047;Kryptonite;3 Doors Down;Rock;3:53;2000-04-08;2000-11-11;20;14;0:3:53;0 days 00:03:53.000000000;2000-04-08;2000-11-11
6048;Thong Song;Sisqo;Rock;4:05;2000-01-29;2000-05-20;20;3;0:4:05;0 days 00:04:05.000000000;2000-01-29;2000-05-20
6049;I Turn To You;Aguilera, Christina;Rock;4:00;2000-04-15;2000-07-01;20;40;0:4:00;0 days 00:04:00.000000000;2000-04-15;2000-07-01
6050;My Love Is Your Love;Houston, Whitney;Rock;4:16;1999-09-04;2000-01-08;20;6;0:4:16;0 days 00:04:16.000000000;1999-09-04;2000-01-08
6051;I Wanna Know;Joe;Rock;4:57;2000-01-01;2000-07-01;20;14;0:4:57;0 days 00:04:57.000000000;2000-01-01;2000-07-01
6052;Get It On.. Tonite;Jordan, Montell;Rap;4:34;1999-10-23;2000-02-12;20;10;0:4:34;0 days 00:04:34.000000000;1999-10-23;2000-02-12
