;rating;title;year;director0;runtime;genres0;genres1;actor0;actor1;actor2;actor3;tagline;outline;genres2;genres3;director1;genres4;genres5
1480;6.4;Shiloh;1996.0;Dale Rosenbloom;5580.0;Drama;Family;Blake Heron;Michael Moriarty;Scott Wilson;Bonnie Bartlett;The story of a boy who risks everything to save his best friend.;Marty Preston, a small-town Southern boy, must rescue a young beagle from abusive owner and recluse Judd Travers.;;;;;
1481;6.1;Detective Extralarge: Yo-Yo;1992.0;Enzo G. Castellari;5460.0;Action;;Bud Spencer;Philip Michael Thomas;Lou Bedford;Vivian Ruiz;;Burt meets Jack Costello after many years. Burt is a boxer and he is fleeing after a fixed match that he should have lost but instead he won...;;;;;
1487;6.5;The Pride of the Clan;1917.0;Maurice Tourneur;5040.0;Drama;Romance;Mary Pickford;Matt Moore;Warren Cook;Kathryn Browne-Decker;The Sweetest Story Ever Screened;Among the simple fisher-folk of a little island off the west coast of Scotland lives MacTavish, head of a clan...;;;;;
1488;6.8;The Postman Didn't Ring;1942.0;Harold D. Schuster;4080.0;Comedy;Romance;Richard Travis;Brenda Joyce;Spencer Charters;Stanley Andrews;;A government mail sack, missing for fifty years, is now being delivered. Stamp collector Julie Martin...;;;;;
1493;5.3;As Seis Mulheres de Adão;1982.0;David Cardoso;5100.0;Drama;Adult;Shirley Benny;Luiz Carlos Braga;David Cardoso;Elys Cardoso;;Six women revenge themselves on a lady-killer who deceived them.;;;;;
1498;7.1;Firebrands of Arizona;1944.0;Lesley Selander;3300.0;Western;;Smiley Burnette;Sunset Carson;Peggy Stewart;Earle Hodgins;A TERROR OF THE WEST at Bay! (original print media ad - mostly caps);While camping outside of town, the sheriff tries to arrest Froggy and Sunset, but a gang of outlaws help them get away...;;;;;
1500;5.6;Secrets of a Chambermaid;1998.0;Adele Bertei;5940.0;Drama;;Michael Ensign;Johnny Green;Gladise Jiminez;Amy Lindsay;She has the key to your deepest, darkest desires...;After a rich woman dies, her friends and relatives meet at her mansion to await the reading of her will. Over the evening, many of them hook up and have a passionate night together, including the maid. But someone's watching them.;;;;;
1503;6.1;Une poste à la Courneuve;1994.0;Dominique Cabrera;3240.0;;;;;;;;;;;;;
1506;5.0;Modern Problems;1981.0;Ken Shapiro;5340.0;Comedy;Fantasy;Chevy Chase;"Arbanville"" (u";Dabney Coleman;Mary Kay Place;Max Fielder has just discovered the power of telekinesis, and he's about to move your world.;Jealous, harried air traffic controller Max Fiedler, recently dumped by his girlfriend, comes into contact with nuclear waste and is granted the power of telekinesis, which he uses not only to win her back, but to gain a little revenge.;Sci-Fi;;;;
1515;;Double Date;1941.0;Glenn Tryon;3600.0;Comedy;Family;Edmund Lowe;Una Merkel;Peggy Moran;Rand Brooks;THEIR DOUBLE HEART-TROUBLE IS TWICE AS MUCH FUN!;Penny Kirkland's (Peggy Moran) Aunt Elsie (Una Merkel) and Jerry Bladwin's (Rand Brooks) widower father...;;;;;
1516;;Kärlek och kassabrist;1932.0;Gustaf Molander;4320.0;Comedy;;Sigurd Wall\xe9n;Tutta Rolf;Edvin Adolphson;Dagmar Ebbesen;;Office clerk Margit suspects that the senior accountant is embezzling money from the company. Now the...;;;;;
1518;6.6;Owl;2003.0;Kaneto Shind\xf4;7140.0;Comedy;Drama;Akira Emoto;Daijir\xf4 Harada;Mansaku Ikeuchi;Ayumi It\xf4;;A mother and daughter living alone in a small village in deep Japan manage to get out of poverty seducing men, who offer their sexual services and then poisoned with a drink similar to sake.;;;;;
1522;7.2;Tere Mere Beech Mein;1984.0;Dada Kondke;;Comedy;Drama;Master Bhagwan;Amjad Khan;Viju Khote;Raj Kishore;;Comedic drama about a girl who falls in love with a homosexual man.;Romance;;;;
1526;6.7;Merci pour le Chocolat;2000.0;Claude Chabrol;6060.0;Crime;Drama;Isabelle Huppert;Jacques Dutronc;Anna Mouglalis;Rodolphe Pauly;;In Lausanne, the aspirant pianist Jeanne Pollet has lunch with her mother Louise Pollet, her boyfriend Axel and his mother...;Mystery;Thriller;;;
1531;;Welcome to the House of Fur Pi;1989.0;Bobby Hollander;;Adult;;Eric Price;Ray Victory;Marc Wallice;;;A nasty sorority is the setting for this academic romp which showcases some of the naughtiest extra-curricular activities from these saucy students...;;;;;
1533;8.2;State buoni se potete;1983.0;Luigi Magni;6900.0;Drama;;Johnny Dorelli;Philippe Leroy;Rodolfo Bigotti;Flora Carabella;;Around the year 1500, the Italian priest Don Filippo Neri helps street kids and orphans in his poor little chapel...;;;;;
1542;4.7;On the Border;1998.0;Bob Misiorowski;6180.0;Crime;Drama;Casper Van Dien;Bryan Brown;Daniel Baldwin;Rochelle Swanson;A bank robbery to die for.;Jake Barnes is a security guard in a Texas border town bank. His boss asks him to spy on his sexy wife, that Jake is having an affair with. When he meets Danish girl Kristen, he gets caught up in a plot to steal millions of dollars of laundry money. Jake is caught between two women who want to become his partner in the theft. When the time comes for the robbery, a furious gun battle ensues that follows cross after double-cross...;Thriller;;;;
1553;7.3;Men in Her Life;1931.0;William Beaudine;4200.0;Drama;;Lois Moran;Charles Bickford;Victor Varconi;Don Dillaway;;A wealthy ex-bootlegger comes to the rescue of a formerly rich society girl after her gold-digging fiancé...;;;;;
1554;3.8;A spasso nel tempo;1996.0;Carlo Vanzina;5640.0;Adventure;Comedy;Christian De Sica;Massimo Boldi;Dean Jones;Marco Messeri;;While visiting Universal Studios in Hollywood along with their respective families, two Italian tourists...;Sci-Fi;;;;
1565;6.2;A Bullet for a Stranger;1971.0;Giuliano Carnimeo;5280.0;Western;Comedy;Gianni Garko;William Berger;Chris Chittell;John Fordyce;;John and George McIntire are a couple of naive brothers who travel to a lawless western town to see their father...;;;;;
1566;;Shadow of Egypt;1924.0;Sidney Morgan;;Adventure;;Carlyle Blackwell;Alma Taylor;Milton Rosmer;Joan Morgan;;In Egypt a Sheik loves an artist's wife but is killed in a revolt following the artists' sale of treasures.;;;;;
1570;3.9;Saajan Ki Baahon Mein;1995.0;Jay Prakash;;Drama;Family;Rishi Kapoor;Raveena Tandon;Sumeet Saigal;Tabu;;Sagar is a popular singer, and since he is a bachelor, he is always mobbed by young women wherever he stages his shows...;Romance;;;;
1574;6.0;Fear in the Night;1972.0;Jimmy Sangster;5640.0;Horror;Thriller;Judy Geeson;Joan Collins;Ralph Bates;Peter Cushing;;A young woman recovering from a nervous breakdown moves with her husband to a boys' school, and finds herself being terrorized by a mysterious one-armed man, but nobody believes her.;;;;;
1575;3.4;For a Good Cause;1997.0;Jacques Fansten;6300.0;Comedy;;Dominique Blanc;Antoine de Caunes;Loic Freynet;Laurie Lefret;;A French school introduces a campaign to give African refugees shelter for one month at local families. Young Tonin too wants to help but his parents disagree, so he keeps Moussa, an African boy his own age, hidden in their house.;;;;;
1579;7.4;Shônen Jakku to Mahô-tsukai;1967.0;Taiji Yabushita;4800.0;Animation;Fantasy;Meiko Nakamura;Chiharu Kuri;Tetsuko Kuroyanagi;Kazuo Kumakura;;Jack goes for a ride with his animal friends--a bear, a fox and a puppy. He meets a girl who takes them by helicopter to the castle of a witch who turns children into devils.;;;;;
1580;7.3;Kolnati sme, Irina;1973.0;Nikola-Kole Angelovski;4800.0;Drama;Romance;Bata;Neda Arneric;Meto Jovanovski;Nenad Milosavljevic;;Story about forbidden love, set in a remote area in a mountain, where a miller lives with his son and daughter-in-law.;;;;;
1581;;Er ling ba ke ji;1984.0;Kangyu Zhou;;Drama;;Falu Liu;Fei Liu;Yanping Zhu;;;The Civil Aviation Administration of China begins planning for international flights in 1965 but due to the Cultural Revolution the first flight does not take place until 1981.;;;;;
1584;6.4;ABC milosci;1935.0;Michal Waszynski;3660.0;Comedy;Romance;Adolf Dymsza;Maria Bogda;Kazimierz Krukowski;Konrad Tom;;Wincenty Poziomka tries to earn his living and falls in love.;;;;;
1586;6.6;Man, Woman and Beast;1977.0;Alberto Cavallone;6000.0;Drama;;Maria Pia Luzi;Martial Boschero;Angela Doria;Emmanuele Guarino;;A Feast For All Of The Senses!;;;;;
1594;6.0;Moonlighting Wives;1966.0;Joseph W. Sarno;5160.0;Drama;;Tammy Latour;Gretchen Rudolph;John Aristedes;Fatima;Nothing is Cut Out! Nothing is Censored! Nothing is Hushed Up! Nothing is Covered Up! Nothing is Left to Your Imagination!;An ambitious suburban housewife, tired of forever being in debt, sets up an independent stenography business...;;;;;
1602;;Profit and the Loss;1917.0;A.V. Bramble;;Drama;;James Carew;Randle Ayrton;Margaret Halstan;Saba Raleigh;;When friends fail him, a tenant farmer turns to making money.;;;Eliot Stannard;;
1604;7.5;Maryada;1971.0;Aravind Sen;;Family;Romance;Rajesh Khanna;Raaj Kumar;Mala Sinha;Pran;;Lalita lives with her widowed mother in a small village in India. One day while traveling by road, she is stranded...;;;;;
1617;5.2;Sightings: Heartland Ghost;2002.0;Brian Trenchard-Smith;6300.0;Horror;;Beau Bridges;Nia Long;Miguel Ferrer;Gabriel Olds;;The crew of a reality-TV show about the paranormal visits a small Kansas town to investigate a house that may be haunted.;;;;;
1624;;I Cannot Forget;1967.0;Hyo-cheon Kim;;Drama;;Hye-jeong Kim;Mu-ryong Choi;Kyeong-hie Lee;Seok-hun Nam;;A low-level business man finds himself slowly going crazy after his beloved wife dies in childbirth.;;;;;
1632;7.0;Inochi;2002.0;Tetsuo Shinohara;6600.0;Drama;;Makiko Esumi;Etsushi Toyokawa;Toshio Kakei;Kumiko As\xf4;;Yu Miri is a writer who's just become pregnant by her married lover. When she decides to keep the baby without his help, her ex-boyfriend Yutaka, decides to help raise him.;;;;;
1634;;And God Created Man;1978.0;Jean-\xc9tienne Siry;4680.0;Adult;;Yvon Sauders;Guy Charrier;Jean-Fran\xe7ois Dumas;Bob Ferrer;;Unaware that his lover, who has left him, has died in a car crash, Lucien wanders through Paris, going from one gay encounter to another, getting more and more hardcore, as if to forget about his sorrow.;;;;;
1639;7.1;We Were Soldiers;2002.0;Randall Wallace;8280.0;Action;Drama;Mel Gibson;Madeleine Stowe;Greg Kinnear;Sam Elliott;Fathers, Brothers, Husbands & Sons.;The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.;History;War;;;
1640;6.6;The Dragonfly;1954.0;Siko Dolidze;5520.0;Comedy;Romance;Leila Abashidze;Tsetsilia Tsutsunava;Tamari Abashidze;Aleksandre Omiadze;;A young, funny, lovely, kind girl from country-side is named Marine but she is nicknamed as Chrichina (Dragonfly)...;;;Levan Khotivari;;
1644;7.0;Cruel Story of Youth;1960.0;Nagisa \xd4shima;5760.0;Drama;;Miyuki Kuwano;Y\xfbsuke Kawazu;Yoshiko Kuga;Fumio Watanabe;;Kiyoshi is a brooding young man who treats women solely as objects. Makoto is a young woman who is just reaching her sexual awakening...;;;;;
1653;;A Scarlet Week-End;1932.0;George Melford;3780.0;Mystery;;Dorothy Revier;Theodore von Eltz;Phyllis Barrington;Douglas Cosgrove;;A woman's cheating husband is murdered at their country estate, and suspicion immediately falls on her.;;;;;
1654;6.4;Mayerling;1968.0;Terence Young;8400.0;Drama;History;Omar Sharif;Catherine Deneuve;James Mason;Ava Gardner;No one woman could satisfy him...until he fell in love.;Based on real life events that led to tragic deaths of Crown Prince Rudolf of Austria and his lover Baroness Mary Vetsera.;Romance;;;;
1655;6.7;Vadh;2002.0;Raj Bharat;;Mystery;Thriller;Nana Patekar;Anupama Verma;Puru Rajkumar;Nakhul;;Dr. Arjun Singh (Nana Patekar) is a leading doctor specializing in psycology. His wife Jyoti (Anupama Verma) is much younger in age than him...;;;Nana Patekar;;
1657;6.0;In His Life: The John Lennon Story;2000.0;David Carson;5100.0;Biography;Drama;Philip McQuillan;Daniel McGowan;Mark Rice-Oxley;Jamie Glover;From a boy with a dream to the Beatle who rocked the world.;A film about the early life of the rock musician and his burgeoning career as a member of the Beatles.;Music;;;;
1669;6.9;Torment;1974.0;Pedro Olea;5340.0;Comedy;Drama;Ana Bel\xe9n;Francisco Rabal;Javier Escriv\xe1;Concha Velasco;;A man retorn to Spain afterwards he becames rich man in America. He falls in love with a woman who works as a servant in his cousin's house. Before getting married he realizes that she's had a torrid affair with a priest.;;;;;
1674;5.9;Riders of the Badlands;1941.0;Howard Bretherton;3420.0;Western;;Charles Starrett;Russell Hayden;Cliff Edwards;Ilene Brewer;A DOUBLE-STARRED Blast of Action!;When Collins and his men attack the stage they kill Lucky's bride. When Lucky spots Steve Langdon, a dead ringer for Collins...;;;;;
1675;7.6;Sirens;2002.0;Nicholas Laughland;8640.0;Crime;Drama;Daniela Nardini;Greg Wise;Robert Glenister;Sarah Parish;;A police search for a serial rapist.;Thriller;;;;
1681;7.9;Miller's Crossing;1990.0;Joel Coen;6900.0;Crime;Drama;Gabriel Byrne;Albert Finney;John Turturro;Marcia Gay Harden;What's the rumpus?;Tom Regan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.;Thriller;;;;
1684;7.0;Tangier Cop;1997.0;Stephen Whittaker;5760.0;Adventure;;Donald Sumpter;Pastora Vega;Sean Chapman;Joe Shaw;;Yaasin, a policeman from Tangier who has almost become an alcoholic, spends most of his time in an exclusive brothel...;;;;;
1685;8.8;Phil-for-Short;1919.0;Oscar Apfel;;Comedy;;Evelyn Greeley;Charles Walcott;James A. Furey;Jack Drumier;;"A feisty, independent young woman, Damophilia Illington (""Phil"" for short, hence the title), the daughter of a progressive university professor...";;;;;
1689;6.5;The Mirror Has Two Faces;1996.0;Barbra Streisand;7560.0;Comedy;Drama;Barbra Streisand;Jeff Bridges;Lauren Bacall;George Segal;There are two things a woman knows: what she's looking for and what she'll settle for.;"Rose and Gregory, both Columbia University professors meet when Rose's sister answers Gregory's ""personals"" ad...";Romance;;;;
1700;7.1;Raymie;1960.0;Frank McDonald;4320.0;Drama;;David Ladd;Julie Adams;John Agar;Charles Winninger;;Raymie (David Ladd), a nine-year-old boy and an avid fisherman, dreams of catching a legendary giant barracuda know as Old Moe...;;;;;
1704;7.6;Strike;1925.0;Sergei M. Eisenstein;4920.0;Drama;;Grigori Aleksandrov;Maksim Shtraukh;Mikhail Gomorov;I. Ivanov;;A group of oppressed factory workers go on strike in pre-revolutionary Russia.;;;;;
1706;7.6;Pyaasa Sawan;1981.0;Narayana Rao Dasari;9660.0;Family;Romance;Jeetendra;Reena Roy;Vinod Mehra;Moushumi Chatterjee;;While looking for employment, Chandrakant is mistaken for the son of a wealthy landlord by Prabhudas...;;;;;
1708;4.5;C'est jeune et ça sait tout!;1974.0;Claude Mulot;4620.0;Comedy;;Jean Lefebvre;Michel Galabru;Fran\xe7oise Lemieux;Darry Cowl;;When Charles Le Braque learns that his boss' 17 years old daughter is pregnant, he fears that his 16 years old nice Joel from France...;;;;;
1711;6.3;Blackout;1985.0;Douglas Hickox;6000.0;Crime;Drama;Keith Carradine;Kathleen Quinlan;Richard Widmark;Michael Beck;;A police officer suspects that a local husband and father who has recently undergone facial surgery...;Horror;Mystery;;Thriller;
1712;;Daphne Laureola;1965.0;;4500.0;Comedy;;Terri Aldred;Mark Albiston;Raymond Westwell;Simon Chilvers;;A modern comic version of the story of Daphne and Apollo.;;;;;
1717;3.1;Babyface;1998.0;Jack Blum;6720.0;Drama;;Lenore Zann;Elisabeth Rosen;Shawn Doyle;James Gallanders;;A 13 year old with an over-sexed mother starts an affair with her mother's live-in boy friend.;;;;;
1718;5.7;The Power Within;1979.0;John Llewellyn Moxey;4440.0;Fantasy;;Art Hindle;Edward Binns;Joseph Rassulo;Eric Braeden;;A daredevil pilot becomes a human dynamo after being struck by lighting and is then persued by enemy agents determined to find out the secret of his superhuman strength.;;;;;
1719;5.8;Striking Distance;1993.0;Rowdy Herrington;6120.0;Action;Crime;Bruce Willis;Sarah Jessica Parker;Dennis Farina;Tom Sizemore;Loyalty above all else, except honour.;Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop, and goes on the record with his allegations. Demoted then to river duty, the killer taunts Tom.;Mystery;Thriller;;;
1720;5.6;Run, Run, Joe!;1974.0;Giuseppe Colizzi;7200.0;Comedy;Crime;Keith Carradine;Tom Skerritt;Cyril Cusack;Sybil Danning;;When a don who they were suppose to protect ends up dead, his bodyguard and bodyguard's friend must go under cover to escape the wrath of mob.;;;;;
1728;5.9;Affair with a Stranger;1953.0;Roy Rowland;5220.0;Comedy;Family;Jean Simmons;Victor Mature;Linda Douglas;Monica Lewis;;When a TV gossip columnist wrongly announces that the marriage between now successful playwright William Blakeley and his wife Carolyn is breaking up...;Drama;Romance;;;
1733;5.6;The Pigeon;1969.0;Earl Bellamy;5400.0;Drama;Crime;Sammy Davis Jr.;Dorothy Malone;Victoria Vetri;Ricardo Montalban;;Private eye is hired to protect a young girl, but it turns out she doesn't want to be protected.;Thriller;;;;
1734;4.9;The Cut-Throats;1969.0;John Hayes;4500.0;Adventure;Drama;Jay Scott;E.J. Walsh;William Guhl;Janice Douglas;... A Blood Bath! Filled With Men and Women Obsessed With Death ...;A captain hand-picks half a dozen American soldiers for a desperate mission in Germany, to get possession of vital WW2 plans - but he keeps another secret up his sleeve.;Thriller;War;;;
1742;8.1;Svanuce;1964.0;Nikola Tanhofer;5580.0;Drama;;Miha Baloh;Ilija Dzuvalekovski;Senka Veletanlic;Pavle Vuisic;;A train driver has a rival in his godson for his wife. During a crisis on the train, he refuses to kill him or let him die in a crash.;;;;;
1743;6.8;Two Hearts;1992.0;Gloria Leonard;;Adult;;Racquel Darrian;Veronica Hart;Derrick Lane;Peter North;;The film tells the story about a Tatoo on an intimate part on the body of a man and the meaning of life.;;;;;
1745;3.7;Hammer Down;1992.0;James Shavick;4980.0;Action;Drama;Matt Almond;Isabelle Mejias;John Ireland;Rachel Walker;;A sleazy rock video producer is suspected of murder when one of his video dancers is found dead. When young detective Johnny Marks and his veteran partner Eddie Van Owen investigate, they expose a video scandal.;;;;;
1747;;The Flame Fighter;1925.0;Robert Dillon;12000.0;Action;Adventure;Herbert Rawlinson;Brenda Lane;Jerome La Grasse;Eddie Fetherston;Crowded With Action, Suspense and Thrills! (original poster);A ten-chapter Rayart serial about fire-fighters/fire-fighting and fire-fighters fighting in the Big City...;Romance;Thriller;;;
1749;;Krima-Kerime;1994.0;Herbert Curiel;5400.0;;;;;;;;;;;;;
1751;5.6;Blonde Fever;1944.0;Richard Whorf;4140.0;Comedy;Drama;Philip Dorn;Mary Astor;Felix Bressart;Gloria Grahame;;Peter owns a small but upscale café on the road between Reno and Lake Tahoe in Nevada. He is a heavy gambler and his marriage is rocky. Into is life come a waitress named Sally.;;;;;
1753;6.7;Era lui, sì, sì!;1951.0;Marino Girolami;5700.0;Comedy;;Walter Chiari;Isa Barzizza;Carlo Campanini;Enrico Viarisio;;Fernando, owner of a large chain store, suffers from worrying dreams: he seems to successfully court saucy women...;;;Marcello Marchesi;;
1756;6.3;Love & Sex;2000.0;Valerie Breiman;4920.0;Comedy;Romance;Famke Janssen;Jon Favreau;Noah Emmerich;Ann Magnuson;Get A Love Life!;When her rather explicit copy is rejected, magazine journalist Kate is asked by her editor to come up with an article on loving relationships instead...;Drama;;;;
1769;6.3;The Sell-Out;1976.0;Peter Collinson;5280.0;Drama;;Oliver Reed;Richard Widmark;Gayle Hunnicutt;Sam Wanamaker;Buying... selling... and zapping your friends... It's all part of the game.;While vacationing in Lebanon, a former secret agent finds he has been marked for assassination.;;;;;
1771;5.1;The 4th Tenor;2002.0;Harry Basil;5820.0;Comedy;Music;Rodney Dangerfield;Anita De Simone;Annabelle Gurwitch;Charles Fleischer;A comedy with high notes.;A restaurant owner falls in love with an opera singer and, desperate to impress her, travels to Italy to learn how to sing.;Romance;;;;
1772;5.7;The Gentle Touch;1956.0;Pat Jackson;5460.0;Drama;Comedy;George Baker;Belinda Lee;Delphi Lawrence;Adrienne Corri;Those Wonderful Nurses-In-Training...Trying to Give Their All to Mankind...Or To The Right Kind of Man!;The public and private lives of 5 girls, who start out as student nurses in the National Health service during the 1950's.;;;;;
1775;5.6;Tales of the Third Dimension;1984.0;Worth Keeter;5100.0;Comedy;Horror;Robert Bloodworth;Kevin Campbell;William T. Hicks;Kate Hunter;;"This movie is made-up of three tales, the first one is, ""Young Blood"" it is about a married pair of...";;;Thom McIntyre;;
1782;5.8;WiseGirls;2002.0;David Anspaugh;5760.0;Crime;Drama;Mira Sorvino;Mariah Carey;Melora Walters;Arthur J. Nascarella;Mira. Mariah. Melora. Mayhem.;A new waitress working at an Italian restaurant in New York City finds herself entangled in a mob-run underworld of drug dealing and murder.;Thriller;;;;
1785;6.3;Happy Easter;1984.0;Georges Lautner;5880.0;Comedy;;Jean-Paul Belmondo;Sophie Marceau;Marie Lafor\xeat;Rosy Varte;;Industrial tycoon Stéphane Margelle is an incorrigible lady's man. Caught by his wife Sophie in company of a charming young lady...;;;;;
1789;6.9;Cool Runnings;1993.0;Jon Turteltaub;5880.0;Adventure;Comedy;John Candy;Leon;Doug E. Doug;Rawle D. Lewis;Inspired by the true story of the first Jamaican Olympic bobsled team.;When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.;Family;Sport;;;
1791;4.3;Spider's Web;2002.0;Paul Levine;5280.0;Crime;Romance;Stephen Baldwin;Kari Wuhrer;Benjamin King;Scott Williamson;Once bitten by lust, you can't escape the trap.;A wily businessman plots with a sultry executive to swindle $40 million from his father. But who is conning who?;Thriller;;;;
1793;;Profit and the Loss;1917.0;A.V. Bramble;;Drama;;James Carew;Randle Ayrton;Margaret Halstan;Saba Raleigh;;When friends fail him, a tenant farmer turns to making money.;;;Eliot Stannard;;
1798;5.1;Gospa;1995.0;Jakov Sedlar;7500.0;Drama;;Martin Sheen;Michael York;Morgan Fairchild;Paul Guilfoyle;It's not just a motion picture;In 1981 in Medjugorje (BA), a group of kids claim that Virgin Mary appeared to them on a hill. The local priest believes them and spreads the word. Religious tourism blossoms. The communist government is concerned and arrests the priest.;;;;;
1804;7.7;Pigs;1992.0;Wladyslaw Pasikowski;6240.0;Action;Crime;Boguslaw Linda;Marek Kondrat;Cezary Pazura;Janusz Gajos;;In good old days Franz Maurer and his partners from secret police used to live like kings. Now, they...;Drama;Thriller;;;
1814;5.1;Wishful Thinking;1997.0;Adam Park;5460.0;Comedy;Romance;Drew Barrymore;Jennifer Beals;Desiree Casado;Isabel Gillies;TRUE LOVE...Is Just A Wish Away!;"A story told from three angles. Max meets Elizabeth; they live together, but when she talks of marriage...";;;;;
1815;4.0;The Killers Within;1997.0;Paul Leder;5520.0;Drama;;Anna Berger;Robert Carradine;Kim Chase;Ronny Coleman;;A man must track down the reasons behind his brother's mysterious death, and uncovers a secret neo-Nazi group headed by a powerful congressman.;;;;;
1830;6.3;In Person;1935.0;William A. Seiter;5220.0;Comedy;Romance;Ginger Rogers;George Brent;Alan Mowbray;Grant Mitchell;Singing...dancing...romancing in a heart-teasing moon-time adventure of a movie star in love with herself...and a man;Carol Corliss, a beautiful movie star so insecure about her celebrity that she goes around in disguise, meets a rugged outdoorsman who is unaffected by her star status.;;;;;
1834;6.2;Alfie;2004.0;Charles Shyer;6180.0;Comedy;Drama;Jude Law;Sienna Miller;Susan Sarandon;Ren\xe9e Taylor;A player until he got played;A cockney womanizer learns the hard way about the dangers of his actions.;Romance;;;;
1850;6.3;Outlaws of Texas;1950.0;Thomas Carr;3360.0;Western;;Whip Wilson;Andy Clyde;Phyllis Coates;Terry Frost;FIGHTING MARSHAL IN SIX-GUN CLEAN-UP OF THE WILD PANHANDLE!;While robbing the stage with Jeff Johnson (Tommy Farrell), outlaws Jordan (Terry Frost) and Wilkins...;;;;;
1863;4.2;Thunderbirds;2004.0;Jonathan Frakes;5700.0;Action;Adventure;Bill Paxton;Anthony Edwards;Ben Kingsley;Brady Corbet;Coming to the rescue;When The Hood finds and invades International Rescue's secret base and traps most of the Tracy family, only young Alan Tracy and his friends can save the day.;Comedy;Family;;Sci-Fi;
1864;6.2;Tail Spin;1939.0;Roy Del Ruth;5040.0;Drama;;Alice Faye;Constance Bennett;Nancy Kelly;Joan Davis;;Flyer enters a cross-country aerial derby, becomes rival to a wealthy society flyer, competes in parachute jumps and has love affairs.;;;;;
1866;5.8;We're in the Navy Now;1926.0;A. Edward Sutherland;3960.0;Comedy;Romance;Wallace Beery;Raymond Hatton;Chester Conklin;Tom Kennedy;;"""Stinky"" Smith makes off with the prize money when his buddy, ""Knockout"" Hansen loses a fight with Percival ""Sailor"" Scruggs...";War;;;;
1867;6.9;Comin' Round the Mountain;1951.0;Charles Lamont;4620.0;Comedy;Musical;Bud Abbott;Lou Costello;Dorothy Shay;Kirby Grant;;Bud and Lou get mixed up with hillbillies, witches and love potions.;;;;;
1868;4.2;Dark Heritage;1989.0;David McCormick;5640.0;Horror;;Mark LaCour;Tim Verkaik;Eddie Moore;Joan Parmelee;;Reporter Clint Harrison is sent to investigate a massacre at a Louisiana campground and finds that it may be linked to the Dansen clan an old local family thought to have died out years ago.;;;;;
1881;3.3;Bubbles Galore;1996.0;Cynthia Roberts;5640.0;Comedy;;Nina Hartley;Tracy Wright;Daniel MacIvor;Shawna Sexton;A Feminist Sex Fantasy;A bisexual female pornographer searches for sexual and economic independence in a male-dominated industry...;;;;;
1882;7.1;Avtaar;1983.0;Mohan Kumar;9000.0;Family;Drama;Rajesh Khanna;Shabana Azmi;Sachin;Sujit Kumar;;Avtaar Krishen lives a poor lifestyle with his wife, Radha, and two sons, Ramesh and Chander. He works...;;;;;
1885;6.6;The Entity;1982.0;Sidney J. Furie;7500.0;Biography;Drama;Barbara Hershey;Ron Silver;David Labiosa;George Coe;There is no escape from something you cannot see;Supposedly based partially on a true story, a woman is tormented and sexually molested by an invisible demon.;Horror;;;;
1887;6.1;No Escape;1936.0;Norman Lee;4980.0;Mystery;;Valerie Hobson;Billy Milton;Robert Cochran;Leslie Perrins;;For a bet a man attempts to hide his friend for a month. The police soon believe he has murdered him.;;;;;
1888;5.5;Stolen from the Heart;2000.0;Bruce Pittman;5400.0;Drama;;Tracey Gold;Barbara Mandrell;Lisa Zane;William R. Moses;A new-born child, snatched from it's mother. But some bonds cannot be broken...;A former prostitute kidnaps a baby boy at birth to satisfy her drug-dealing husband, who has told her...;;;;;
1893;7.5;Pocket Maar;1956.0;Harnam Singh Rawail;;Action;Crime;Dev Anand;Geeta Bali;Nadira;Madan Bhandari;;Roshan lives a poor lifestyle in Bombay along with his widowed mother. His mother thinks that her son...;Drama;Family;;;
1901;6.5;You Can't Go Home Again;1979.0;Ralph Nelson;6000.0;Drama;;Lee Grant;Chris Sarandon;Hurd Hatfield;Tammy Grimes;;Story of the relationships of a young writer trying to make it in New York of the 1920s, his married lover and an editor who sees the potential for literary genius in him.;;;;;
1902;6.4;Pornography;2003.0;Jan Jakub Kolski;7020.0;Drama;Romance;Krzysztof Majchrzak;Adam Ferency;Krzysztof Globisz;Grazyna Blecka-Kolska;;Two intellectuals, a writer and a director, begin to play a mysterious psychological game in a peaceful countryside manor house during the Nazi occupation.;War;;;;
1907;8.0;Kyô kara Ore wa!!;1994.0;Tsutomu Kashima;;Animation;;Taisuke Saeki;Kaori Takahashi;;;;Two transfer students, Mitsuhashi Takashi and Itou Shinji, tired of their boring normal life and unpopularity...;;;;;
1908;5.5;Oklahoma Blues;1948.0;Lambert Hillyer;3360.0;Western;;Jimmy Wakely;Dub Taylor;Virginia Belmont;I. Stanford Jolley;GUN-TOTIN' TUNE STAR! Burning With Action! Bursting With Tunes!;State Commissioner Walton is uncertain about making Rainbow's End the new county seat after the Drago brothers...;;;;;
1918;6.0;Ivo il tardivo;1995.0;Alessandro Benvenuti;6600.0;Comedy;Drama;Alessandro Benvenuti;Francesca Neri;Davide Bechini;Francesco Casale;;Ivo, a troubled forty-year old man, keen on solving puzzles has just recovered from a mental illness...;;;;;
